label,review
m,بار اول مخلفات خوب بود ساندویج دو سه سیر می‌کند
m,بادام‌زمینی ایده‌ی جالبیه همبرگر خوشمزه انواع چیزایی صورت رایگان می‌توانی سفارش بدی ساندویچت باشد انواع سس‌‌های رایگان مشکل اصلی قمیت بالایش هست
n,بادکنک بقیه‌ی میز‌ها بود بچه‌‌های دلشان خواسته بود دو ساعت گفتم ندادن آخر سر میز‌ها بادکنکش داد فاکتور دیدم زده بادکنک مبلغ هزار تومان هزار تومان میل دادم تومان زور داشت
p,بار این‌جا بستنی قیفی وانیلی شکلاتی خوردم خوشمزه عالی بود محیط داخلی‌ش شیک تمیز هست
m,بار آمدم پالادیوم معمولا خوردم دنج‌ها طبقه سوم هست تجربه کردم عاشق شدم نظر دسر کیک‌‌هایش رییس کلا خوب هست حالت سلف سرویس هست
n,بار تصمیم گرفتم رستوران هندی امتحان کنم نمی دوانم زود رفته بودم نبود برخورد پرسنل سر تعجب بود فکر کنم خودشان می‌گفتند آمده همه‌ی پر رویم معذب شده بودم ادای آدم‌های بی‌تفاوتو می آوردم محیطش قشنگ بود گفتم بی‌خیال رفتار این‌ها تجربه می‌کنم جوجه تندوری سفارش دادم بله بود نپخته بود بالاخره دادیم‌اش پایین کهرفتیم دم هتل سفیر اقایی پرسنل لحن مسخره کردن گفت خوب بود نسوختی فکر کنم آن‌ها دوست داشته باشیم دوباره همو ببینیم نرید خوب نیست
m,بار تجربه رستوران بدی نیست برخورد کارکن‌ها هستند عالی محترمانه است لذیذ‌ترین غذایش چلو گردن بهار نارنج است قیمت غذا‌ها گران
m,بار تصمیم داشتم تولد رزروش کنم منوش‌کامل نبود بار همینجوری دوستم رفتم نشستن نداشت پرسنل خوبی دارد ورودیش باغ فدک هست قشنگ هست خب قسمت نشده تاحالا راضی بیایم
m,بار تلفنی غذا سفارش دادم خوش برخورد مودب بودند منوشان نبود بندری خبلی راضی بودم پیاز جعفری دقیقا طعم شصت میداد همبرگر‌هایش گوشت چرخکرده‌ی خالی هست مزه‌ی خاصی متریال‌هاش تازه کیفیت هست قیمت‌هایش مناسب هست سرویس دهیش سریع خوب هست
p,بار جالب هست نیست بار دوم بروم
m,بار چندم بود به‌‌هات داگ مسعود می‌رفتیم انصافا‌‌هات داگ مسعود ساندویچ‌‌های سوسیس و‌‌هات داگ امریکایی علاقه دارند کیفیت تنوع جذابیت ظاهر ساندویچ‌‌هایش اشتها تحریک می کند کیفیت غذا‌هایش بالا است بگویید فقط‌‌هات داگ دارد میکس کردن همان‌‌هات داگ انواع سس‌‌ها پنیر‌ها کالباس‌‌های تنوع بالای رسیدند اصولا رستوران‌هایی صورت تخصصی آیتم کار می‌کنند کیفیت بالایی دارند سفارش بار ماشروم کراکف پپرونی داگ بیکن پیچ سیب‌زمینی سوسیس بود سیب‌زمینی سوسیس سیب‌زمینی سرخ‌شده سوسیس انگشتی سس میکس چهار پنیر کمی سس باربیکیو کنجد جعفری بود داغ سرو شده بود ‌کیفیت سیب زمینی‌ها خوب بود بوی روغن سوخته نمیداد اندازه سرخ شده بودند سس پنیر روش فوق‌العاده خوشمزه بود حجم سوسیس سس پنیر نسبت حجم سیب زمینی‌ها قبول بود چیش عالی بود نمره می‌دهم توصیه می‌کنم نکته‌ای دارد هست توجه سس باربیکیو میز‌ها هست بهتر هست خودشان سس باربیکیو سیب‌زمینی نزنند اجازه بدهند مشتری سلیقه سس‌‌های میز سیب‌زمینی انتخاب دلخواه بده خصوصا داخل داشتن سس باربیکیو سیب‌زمینی نوشته نشده است داخل سس قارچ داخل جزییات سیب‌زمینی سوسیس نوشته شده بود ندیدم داشته باشد پپرونی داگ شامل‌‌هات داگ پپرونی سس مخصوص پنیر موزارلا جعفری بود نکته اول ظاهرش فوق‌العاده هیجان‌انگیز بود طعم پپرونی‌های استفاده عالی بود ترکیبش با‌هات داگ خوب آمده بود سس مخصوص سس پنیر گودا بود عالی بود مقدارش متناسب بود جعفری خرد‌شده روش خوب بود عالی خوشمزه بود کم کسری نداشت نمره می‌دهم ‌ بیکن پیچ ترکیب بود پپرونی بیکن عوض شده بود ورقه بیکن دور‌‌هات داگ پیچیده شده بود انتخاب ترکیب مواد با‌هات داگ خوب سلیقه شده بود بیکن پیچ پپرونی داگ فوق‌العاده عالی خوشمزه متفاوت بود پیشنهاد می‌شود امتحان کنید بیکن پیچ نمره می‌دهم ماشروم کراکف سوسیس کراکف قارچ پنیر سس قارچ جعفری بود کیفیت کراکف استفاده‌شده خوب بود تفاوت عمده دیگه‌‌هایش نداشتن سس پنیر گودا ساندویچ بود جاش پنیر موزارلا استفاده شده بود قارچ‌‌های داخلش اندازه بود ترکیبش سس قارچ خوب شده بود حجم کلفتی کراکف نسبت حجم نون بود خوردنش کمی سخت شده بود تنوع خوب شده بود احساس می‌کنم سس پنیر گودا بهتر داشت می‌شد ‌‌در‌کل خوشمزه بود نمره خوب می‌دهم دو مدل بیکن پیچ پپرونی داگ خوشم آمد بهم چسبید انصافا عالی بود رفتار پرسنل فوق‌العاده محترمانه دوستانه بود شک‌‌هات داگ مسعود بی‌رقیب بی‌نظیره هوس خوردن ساندویچ سوسیس‌‌هات داگ امریکایی مدلی گوجه خیارشور کاهو کردید شک دلتان ندید حتما به‌‌هات داگ مسعود سر بزنید توضیحات لازم رستوران پست‌‌های قبلی توضیح دادم تکرار مکررات پرهیز می‌کنم قیمت‌‌های داخل سایت درست هست نظرم‌هات داگ مسعود به‌قدری عالی خوب هست مشتری‌ها هستند کرده وقتش رسیده فکری افزایش ظرفیت رستوران توسعه کارشان بدهند ممنون خسته نباشید خدمت پرسنل محترم‌‌هات داگ مسعود
m,بار چندم آمد شلوغ بود نبود زود شد رفتم سفارش دادم نشستم مرغ کتلت الویه بندری زبان عالی بود زبان مانده بود خوردن نبود نبود انداختم دور فکر کنم مغز همینجوری باشد پیشنهاد می‌کنم مغز زبان نخورید
p,بار بروم یوسف آباد دلم می‌خواهد بروم کافه رستوران کیفیت غذا برخورد پرسنل عالی هست فضایش‌ دلنشینه‌ سالاد شف‌ غذای اصلی پورتو فولیو‌ سفارش دادیم فوق‌العاده خوشمزه بود سالاد به‌تنهایی دو کافیست
p,بار چندم آمدیم بگویم غذایشان فوق العادس قیمت‌هایش خوب هست برخوردشان عالی تقریبا غذا‌هایشان عالی هستند
p,بار آمدم چلو گردن خوردم خوشمزه بود دوست نداشتم محیط رستوران بود فضای شیکی دارد سرویس‌دهی ترولیا می‌چرخند میز‌ها تند تند میز می‌چینند جمع می‌کنند نزدیک بودن میز‌ها یاد رستوران‌های شلوغ هست بازار میندازه بار نرفتم
m,بار چندم دوست‌هایمان رفتیم غذا‌هایش کلا بنظر خوشمزه است اولش منتظر دوست‌هایمان بودیم قهوه دمنوش کیک سفارش دادیم خوب بود بعدش غذا پاستا پیتزا سالاد سزارش امتحان کردیم خوشمزه بودن قبلا پنینی برگرش خوردیم خوب بودن نکته منفی بنظرم شلوغی سر صدای حدیه فضا دارد توجه کافه بودنش فکر می‌کنم اجتناب ناپذیر هست خوب بود راضی بودیم حتما توجه نزدیکیش میریم درضمن حق سرویس مالیات نداشت
p,بار بشقاب سبزیجات فیل هست مینیون تست کردیم بشقاب سبزیجات فوق‌العاده بود کیفیت قیمت فیل هست مینیون زیاد بود خوشمزه دارچین مفصل سفارش‌‌ها دفعه‌ی رضایت بود استاتیرا نرفتید توصیه می‌کنم فرصت دست ندید انتظار فضا دکوراسیون خاصی نداشته باشید محیطش معمولی هست کیفیت غذا‌ها قیمت خوب هست پنج درصد حق سرویس می گیرند مالیات
p,بار چندم مزه سالاد سزار ژمیس جاش دلم خالی دید رفتم ژمیس سه شنبه شب بود حدود ساعت سرشان شلوغ نبود نیازی نوبت گرفتن نداشت پارک راحت گیر آمد رسیدیم رفتیم داخل نشستیم سفارش دادیم سزار سوخاری اولین بار پا هست رزا سزار سوخاری زود آماده شد سریع سرو شد کیفیت حجم خوب عالی بود پا هست رزا آمد سس قرمز سرو شد مرغ کیفیت مزه لذیذ تازه ژمیس نظر کیفی کمیت غیمت نسبت کیفیت کمیت منطقه بلوار فردوس حرف اول می‌زنم نظر برخورد پرسنل عالی بودن مشکلی کردم بود پیجرهای میز کار نمی‌کرد ارتباط پرسنل سفارش گرفتن حساب زیادی برد
p,بار به‌ای رستوران رفته‌ام معنی است ارزش رفتن دارد غذای گیلانی سرویس مناسب پرسنل مجرب فضای دلنشین غذا به‌حدی خوب است مواظب باشید غذای اصلی نیاندازد مراقب میزان سفارش باشید
p,بار چندم هیراد آمدیم سفارش دفعه مجددا سالاد سزار فیل هست سوخاری گرات هستید سیب‌زمینی تنوری پیتزا چهار فصل بود اولین نکته‌ای تغییر کرده بود مدل طبخ پیتزا چهار فصل بود طوری ضخامت خمیر کمی افزایش کرده بود حجم پنیر پیتزا شده بود نقطه حجم مواد روش کم‌تر شده بود اولا ذرت شیرین روش حذف شده بود ثانیا حجم قارچ روش کم شده بود سس پیتزا کمی طعمش عوض شده بود نمی‌شود گفت بهتر بد‌تر شده بود تغییر کرده بود پیتزا چهار فصل عالی خوشمزه بود نمره می‌دهم مدل قبلی مجموع عالی‌‌تر بود نظرم حالت برگرده بهتر هست چهار مدل پیتزای طبخ شده داخل پیتزا چهار فصل مدل‌‌های فیل هست گوساله فیل هست مرغ پپرونی ژامبون بود مدل گوشتیه تنوع کالباس‌‌ها ترجیحا ژامبون سبزیجات تغییر کند بهتر تنوع می‌شود رستوران هیراد داخل پیتزا سبزیجات دارد کار راحت‌‌ترین شکل انجامه حضور برش‌‌های پیتزا پپرونی پیتزا ژامبون چشم نمی‌آید نکته بعدی هست داخل فر بودن مدل‌‌های فیل هست گوساله مرغ پپرونی مدل ژامبون هست ورقه‌‌های ژامبون خاطر نازک بودن خلال شدن برش‌‌ها داخل فر آماده بشوند شروع کز شدن سوختن دورش می کند پیشنهاد دوم برش‌‌های فیل هست گوساله تبدیل برش‌‌های پیتزا بلوبیف بشود خوشمزه‌‌تر عالی تره گوشت روش هست کافی هست سس سیر پیازچه جایگزین مخلفات روش بشود توضیحات لازم پیتزا چهار فصل داخل پست قبلی موجوده تکرار نمی‌کنم گرات هستند سیب‌زمینی تنوری تبدیل سفارش همیشگی رستوران هیراد شده دفعه دفعه بهتر می‌شود تکامل می رسد برش سیب زمینی‌ها جوری شده‌ بود ریز‌تر باریک‌‌تر شده بود اینطوری بهتر برشته تنوری می‌شوند عالی بود سس داخلش نظرم خوشمزه‌‌تر دفعات شده بود نکته گرات هستند سیب‌زمینی افزایش دفعه قیمتش هست قیمتش طول کم‌تر سال هفت هزار تومان بار تغییر هجده تومان رسیده است ‌‌در‌کل ایتمی هست مشابه‌اش کیفیت عالی کم‌تر جایی دیدم افزایش قیمت ندارد سرو گرات هستند سیب‌زمینی مدلی کیفیت بالا رستوران‌‌های هیراد ژمیس دیدم دلیل وقت گذرم دو رستوران بیفته جزو سفارش دفعه است اکثر رستوران‌‌ها گرات هستند مدلی سیب‌زمینی سرخ‌شده درست می‌کنند مسلما خوبی خوشمزگی نمی‌شود توضیحات لازم گرات هستند سیب‌زمینی تنوری پست‌‌های قبلی هست نمره می‌دهم سالاد سزار فیل هست سوخاری کیفیت عالی حفظ کرده بهتر شده فیله‌های سوخاری خوشمزه ترد داغ عالی سرو می‌شود سسش خوشمزه عالی هست درست کردن سالاد سزار صورت عادت دیفالت نمی‌دهند وقت می‌گذارند جاها کیفیت سالاد سزارشان افت می‌کند سالاد سزار هیراد افت نکرده بهتر شده کاهوش تازه بود نون کروتانز داخلش طعم دار عالی بود سسش معرکه بود قطعا جزو بهترین سالاد سزار‌‌های تهران هست توضیحات لازم رستوران هیراد قبلا نوشتم تکرار مکررات پرهیز می‌کنم قطعا به‌قدری خوب عالی هست رستوران رفتیم جزو گزینه‌‌های محبوب همیشگی انتخاب کردیم ممنون خسته نباشید خدمت پرسنل محترم رستوران ایتالیایی هیراد
n,بار آمدیم رستوران ایتالیاییش پرسنل عالی حرفه‌ای دلشتن متاسفانه ماهی سلمان تیغ می‌دادند غذا دقیقه طول کشید صورتی رستوران خلوت بود شاندیزش شبیه رستوران‌‌های جاده‌ای
n,بار چندین سال رفتم خوب بود محیط دکوراسیون مهم بوده ترجیخ می‌دهم مکانی متفاوت تری خاتون تجربه کنم
p,بار بود کوپن تخفیف رفتم استاتیرا دومین ربود استیک سنگیشو سفارش دادم غذا سوپ خواستم وسط هفته‌‌ها مشتریشان کم هست سوپ درست نمی‌کنند وگفتن نداریم منم می‌دانستم استیک دور چین کاملی دارد سالاد سفارش ندادم سفارشم استیک سنگی بود دوغ حدود دقیقه‌ای طول کشید غذام آماده شد منم تجربه پاچیدن روغن استیک لباسم قبلا داشتم لباسام حسابی دستمال گردن‌هایش پاشانده بودم دیدم خانم گارسونشان پیشبند آورد خوشحال شدم غذا آوردند حجم طعمش خوب بود طبق گفته مهیار کیفیت سنگش رفته دلیلی گوشت خواهم می‌چسبد سنگ جلوگیری مشکل کارد محض گوش کمی پخت گوشت پشت کردم اونیکی طرفش هستم روش کمی پخت پشت کردم نچسبید گذاشتم داخلش هستم بپزد سس قارچش کم هست مدل سس می‌آورد استیکش سس قارچ سس شبیه سس کره خردل هست دوست دارم سس ترشش باربیکیو هست زیاد دوست ندارم بار اول استیک سفارش دادم سس قارچ اضافی خواستم ظرف آوردند نان خواستم نان‌‌های مدیترانه ایشون آوردند دور چین سبزیجاتشم خوب بود کدو کلم بروکلی گل کلم وهویج قارچ بود تازه خوشمزه بودن سیب‌زمینی سرخ کرده برخورد پرسنل مودبانه احترام بود راضی بودم جایی هست هوس استیک سنگی کنم شرایط پخت جالبش میگو پفکیش تخفیف می‌روم خوردن استیک خوب سنگی حجم زیاد سنسو ترجیح می‌دهم نظر مسافتی سنسو نزدیک‌تر هست
p,بار چهارم بود رفتیم پا هست آلفرد چیزبرگر سفارش دادیم پا هست الفردوش طبق معمول عالی بود مزه همیشگی سس خوشمزه سس مزه آرد نمیداد چیزبرگز دارچین سیب‌زمینی سرخ کرده سس خوشمزه بود برگر خوشمزه بود می‌تواند بهتر بشود نون سفید استفاده کنند بنظرم خوشمزه‌‌تر بشود سیب‌زمینی ترد خوشمزه بود پیشنهاد می‌شود حتما اینجارو امتحان کنید
m,بار پنجم بود میومدم روبرو نظرم مقایسه رستوران‌های سبکی سنجیده شه صورت بهتر هست مواد تازه برخورد محترمانه تنوع اشپزخونه شیشه‌ای می‌شود طبخ غذا دید محیط دلنشین پیشنهاد می‌کنم برید لذت ببرید پیشنهاد بشقاب هست
p,بار حالا رفتم فضای خوب میز‌ها زیاد بهم نزدیک نیست برخورد عالی غذا خوب استیک شقف فیل هست مینیون شاه میگو خوردم خوب بودن حجم غذا زیاد نیست اشتهای متوسط کافی است سالاد گردو خوب هست قیمتش نسبت حجم غذا مناسب است تخفیف کلاب ارزش رفتن می کند
p,بار حالا رفتیم خدایی کیفیت غذا‌ها خوب هست استیکش هستم خوب هست سزار فیل هست سوخاریش معرف حضور هست فتوچینی پستوش هستم عالی هست پیتزا‌هایش تعریفی نیست درست هست سالن گرفتن معطل شید می‌ارزد
p,بار جمع خانوادگی مهمانی رفتیم کیفیت کباب‌‌ها عالی بوده برگ‌‌ها نرم آبدار بوده کوبیده مزه چربی پیاز نداشته
n,بار خوب هست بار دوم نکاتی میبینی دلنشین نیست اول وارد می‌شوی حتما جایی آن‌ها می‌گویند بنشینی هردفعه سس می‌خواهی هی بگویی خودشان غذایی لازم هست نمی‌آورند زل می‌زنند مشتری جالب نیست
p,بار چندم بود ژمیس می‌رفتیم سفارش سالاد سزار فیل هست سوخاری گرات هستند سیب‌زمینی تنوری پیتزا مخصوص ژمیس بود سالاد سزار سوخاری عالی بی‌نظیر خوشمزه حجم کیفیت بالا قطعا نمره می‌دهم گرات هستند سیب‌زمینی تنوری بار اول بود ژمیس می‌خوردیم ترکیب لذت سیب‌زمینی برش‌‌های گرد پوست قارچ پنیر سس خوشمزه داخل ظرف فویلی تنوری بود حجیم داغ خوشمزه سسش بی‌نظیر بود داد گرات هستند سیب‌زمینی تنوری نمره می‌دهم پیتزا مخصوص ژمیس فیل هست گوساله فیل هست مرغ گریل قارچ فلفل پنیر سس مخصوص بود خمیر ترد خوش طعم بود فیله‌های گوساله نرم آبدار بود فیله‌های مرغ خوب گریل شده بود نظر ترکیب فیل هست گوساله مرغ سنگین شده بود کمی پیتزای ایتالیایی متعارف بود پیتزا امریکایی اینطوری باشد خوب هست خاطر پنیر زیاد یکدست طعم میکس مزه خواهد داد اینطوری تیکه‌‌های فیل هست مرغ به‌تنهایی دهان میومد انگار پیتزا مرغ داشتم می‌خوردم پیتزا مخصوص نمره می‌دهم قبلا ژمیس پیتزا چهار پنیر پنیر بلوبیف خورده بودم مسلما پیتزا بلوبیف پسندیدم دفعات بخواهم ژمیس پیتزا بخورم انتخابم مخصوص چهار پنیر نخواهد بود قطعا پیتزا بلوبیف سفارش خواهد بود تفاوتی بار ژمیس داشت بود برعکس دفعات خاطر سس سیر اضافه آخر فاکتور هزار تومان مبلغ اضافه سس اضافه اخذ شد توضیحات لازم پست اول ژمیس ذکر‌شده ممنون خسته نباشید خدمت پرسنل محترم رستوران ژمیس
p,بار آمدیم کاشان بار آمدیم رستوران منوچهری لحاظ مکانی زیبا است لحاظ برخورد پرسنل مودب محترمی دارد ایندفعه ماست موسیر ماست خیار شربت سکنجبین شربت گلاب زرشک پلو مرغ کباب تابه‌ای سفارش دادیم غذا‌های اصلی خوب بود ماست‌ها عالی بودند موسیر نعنای تازه درست شده بودند شربت‌ها طعم عالی داشتند
p,بار دفعه‌‌های عالی بود شب ورویایی قشنگ خانواده عمارت خانه پدری سپری کردم داخل حیاط نشستیم جالب بود میزهارو نام محله‌‌های قدیمی تهران گذاشتند میز اسمش دربند بود حوض داخل حیاط بگویم سفره هفت سین قشنگ داخلش چیده بودند ماهی‌‌های قرمز لا لای آن‌ها شنا می‌کردند نوشیدنی‌ها غذا‌ها فوق‌العاده خوش طعم بودن
m,بار اخری رفتم ابان بود غلیون نمیداد نوشیدنی‌هاش نبود برخورد پرسنل خوب بود کمی تغییر دکور بود شومینه‌ی بالکن برداشته بود
p,بار چندم بود ژمیس می‌رفتیم بار سفارش سالاد سزار فیل هست سوخاری بیف‌استروگانف نان سیر بود سالاد سزار فیل هست سوخاری مغز پنیر زیاد داغ بود تفاوتی داشت کمی غوره گردو گوشه سالاد بود نکته سالاد سزار بار سس زیاد کف ظرف بود سالاد سزار فیل هست سوخاری نمره می‌دهم نان سیر بار اول بود ژمیس می‌خوردم چهار برش ضخیم نون باگت روش مقداری پنیر سیر بود نسبت نون پنیر مناسب نبود نون ضخیم زیاد پنیر روش کم لایه نازک اصول غذا‌های ژمیس پرملات دست دلبازانه هستند تفاوت معناداری داشت زور نون باگت حجیم شده بود طعم پنیر سیر روش خوب بود شرطی لایه روش مقدار کمی نون میل کنید قسمت عمده باگت خالی بگذارید نان سیر نمره ضعیف می‌دهم بیف‌استروگانف حجیم خوش طعم ظاهری شیک داغ سرو شد سیب زمینی‌های بیف‌استروگانف دو رنگ زرد قرمز بود ترد خوش مزه بود بیف‌استروگانف لحظه آخر داغ مانده بود قوی سنگین بود گوشت قارچ خامه عالی سفت بود لاستیک خواهم سوخته بوش ادویه‌‌هایش مطبوع مناسب بی‌نهایت خوشمزه بود نمره می‌دهم سالاد غذا درخواست سس گریند پستو کردم ظرف آوردند سس گریند خوشمزه بود برخورد پرسنل مودبانه خوب حرفه‌ای بود تشکر مسیول نوبت‌دهی مسیولانه بامحبت بود توضیحات لازم رستوران پست‌‌های قبلی ژمیس هست ممنون خسته نباشید خدمت پرسنل محترم رستوران ژمیس
m,بار اسپسو دابل خوردم کافه محیطش خوب هست دیزاین داخل خوب هست نظرم اسپرسو تومان کمی گران بود اطراف قیمت تومان اسپرسو می‌شود می‌خورد برخورد پرسنل خوب بود
m,بار چندم رفتم رزماری اقعا ناامید شدم متاسم میگو خودم طرفدار‌های پروپا قرصش بودم سالاد سزار گالیک ماشروم سفارش دادیم ماشروم خوشم نیامد خوبی سرخ نشده بود پر اب بود سزارش سزار سابق نبود مشخص بود ساشپز عوض شده شام فیل هست مینیون سس برنز سس بد بود سیرلاین استیک بنظرم سس بلوچیز نبد حایل هست عاشق سیرلاین رزماری بودم ضمنا طبخ استیک میدیوم ول بودیم تقریبا خواهم بود بهشوم متذکر شدیم حالت بنظرم رزماری رزماری می‌شناختم نبود
m,بار امتحان گردنش می‌ارزد
p,بار چهارم بود رفتم دانشگاه محیط درست هست کوچیک هست حس خوب دارم برخورد‌ها صمیمی مزه غذا‌ها عالی هست حس می‌کنم شعورم توهین نمی‌کند دوستت دارم قجری
p,بار خانواده رفتیم شلوغ بود انتظار کشید میز بدهند کیفیت غذا‌ها سرویس‌دهی مطلوب دارای پارکینگ مناسب
n,بار حالا رستوران رفتم کیفیت غذا خوب نیست قیمت نسبت رستوران‌‌های بالا است نمی‌دانم مشتری زیاد دارد سلف سرویس بودنش خوشم آمد
p,بار خانواده رفتیم کیفیت سرویس‌دهی برخورد پرسنل مدیریت خوب بود کنافه فوق‌العاده خوب بود شاورما خوش مزه بود کباب برود لذیذ کباب نگینی کیفیت لذیذ ماهی شیر خوش طعم طبخ شده بود متاسفانه وقت نکردم مجددا بروم حتما جاییه خواهم رفت پارک راحت گیر می‌آید حدودا شد
p,بار دسته‌جمعی رفتیم تجربه خوبی بود خصوص ساندویچ‌ها عالی بودن ساندویچ پیپل ساندویچ رست بیف غذا‌های اصلی بشقاب رژیمی استیک بیف‌استروگانف خوب بودن نوشیدنی‌ها قدری ناامید کننده بودن ماهیت خوب بود بلوهاوایی مزه بیربطی داشت شی نام خاکشیر الویه ورا داشتن قدرت خدا مزه نمی‌داد شیرین بود مزه خاکشیر می‌داد مزه الویه ورا اب خنک اجسام شناور می‌شد خورد اب خنکی قیمت هزار تومان فکر کنم حتما دوباره بروم دفعه کاکا سفارش می‌دهم
p,بار دهم است می‌آییم روگلی می‌شود گفت مشتری دایمش هستم غذایش هراز خوب هست تمیز قیمتش نسبت کیفیت غذایش خوب هست اول رستوران کوچیک بود جاش بزرگ‌شده ساله مغازه اطراف گرفته جاده هراز هستید حتما حتما روگلی امتحان کنید کباب فسنجونی جوجه ترش چلو گوشتش امتحان کنید کیفیت غذا سرویس‌دهی محیط دکوراسیون ارزش نسبت قیمت
p,بار دوم اینترنتی کیک‌ تولد سفارش دادم سر موقع آوردند خوشمزه بود ظاهر کیک عالی بود قشنگ داخلش دقیقا موادی بود اینترنتی خودم انتخاب کرده بودم کیک دقیقا مطابق عکسش بود
n,بار دوستم کافی‌شاپ رفتم راضی نبودم اولین مشکل کارکن‌ها هستند بودن آدم‌‌های بی‌انگیزه‌ای بودن وارد شدیم سمت میز گرفتن سفارش نیامدند صدا کردن دست تکون دادن سمت آمدند سفارش گرفتم جرات می توانم بگویم بد مزه‌‌ترین رد ولوت عمرم کافی‌شاپ خوردم ردولوت نبود نمی دوانم کیکی بود طولانی بودیم سوپ پیاز سفارش دادیم بد بود بد گران شخصه هیچکس توصیه نمی‌کنم
p,بار امتحانی غذا گرفتم مشتری هست ثابتش شدم اسپیرینگ رول بال سی تند شیرین بیف سس تریاکی میگو سس تند شیرین سوشی نیدا رول چیلی رایس بیف گرفتم فوق‌العاده عالی بودن
n,بار دوم آمدیم رستوران دگریل اندرزگو آسانسور آمدیم دیدیم کس استقبال نمی‌آید نزدیک تراس شدیم تازه پرسنل نزدیک آمد نارضایتی چهره‌ی دید گفت ویترس مرخصی هست آشپزخانه وسط سالن قرار‌ها دارد تراس نسبتا کوچک دارد میز‌ها صورت فشرده قرار طوری بعضا رفت آمد دچار مشکل می‌شود غذای همبرگر بود خوب طعم دار شده بود خوش طعم بود پیتزا‌های امریکا پیتزا پپرونی انتخاب کردیم خوشمزه بود پیشنهاد می‌شود سرویس‌دهی معنای دو بار ضعیف بود پرسنل سر گم بعضا خودشان سر میز نشسته بودند حرف می‌زدند نگویم غلیون خوب نبود مشکل همیشگی ذغال جکسون استفاده می‌کردند ذغال سرخ نمی‌شد گاز ذغال نرفته کام طعم غلیون می‌رود دود می‌دهد اینبار اینقدر مسیل هست واضح بود غلیون مرجوع کردیم فکر کنم آشپز رستوران کار خوب داد توجه انتخاب هامون می‌گویم دکوراسیون سرویس‌دهی کیفیت غذا ارزش نسبت قیمت غلیون مجموع
m,بار اول امتحان کردم باورم نشد همچین کباب خوبی داشته باشند دارند جایشان داخل رستوران بد نیست اولین بار بود چنج هست ابداری نرمی خوردم دهان اب می‌شد علاوه غذای خوبشان قیمت‌هایشان هستم خوب هست جوجه کوبیده چنج هست شدت پیشنهاد می‌شود نان داغ می‌زنند غذا داخل رستوران میل کنید سوپ غذا رایگان می‌آورند
m,بار دوم بود به‌‌هات داگ مسعود می‌رفتیم نسبت ماه رفته بودیم فوق‌العاده شلوغ‌‌تر شده بود امر باعث شده بود مشکل پارک شکل شدیدی نمایان بشود سفارش ماشروم داگ بیکن پیچ بود بیکن پیچ شامل‌‌هات داگ بیکن سس پنیر گودا سس مخصوص جعفری بود‌‌هات داگ دو نیم تقسیم شده بود داخل بیکن پیچیده شده بود بیکن سس کمی جعفری ریخته شده بود عالی خوشمزه بود داغ سرو شده بود طعم سس پنیر سس مخصوص عالی بود ظاهر ساندویچ فوق‌العاده خوشگل بود بیکن پیچ نمره می‌دهم نکته بود ریختن سس لایه بیرونی بیکن ساندویچ ظاهرش جذاب‌‌تر کرده بود داخل شکم ساندویچ رول بیکن ریخته می‌شد خوردنش راحت‌‌تر می‌شد احتمالا میکسش بهتر میومد ماشروم داگ شامل‌‌هات داگ سس قارچ پنیر موزارلا جعفری بود داغ بود طعم سس قارچش عالی بود دفعه سس قارچ کمی طعم ادویه‌‌هایش زیاد بود دفعه اصلاح شده بود طعم عالی گرفته بود طعم پنیرش عالی بود چیش عالی بود نمره میدم‌هات داگ‌ها کلا مدل امریکایی گوجه خیارشور کاهو درست می‌شود میز سه مدل سس کچاپ خردل باربیکیو داشت سرعت آماده شدن ساندویچ‌‌ها سریع بود پیاده میز صندلی دو نفره اضافه کرده بودند پر بودند‌هات داگ‌ها چرب نیستند روغن کم درست می‌شوند توضیحات لازم پست قبلی موجوده ممنون خسته نباشید خدمت پرسنل محترم‌‌هات داگ مسعود
p,بار اول ایران خوردن جلات عالی کیف کردم دیزاینش لذت بردم کیفیتش تنوع طعمش هستم نگویم
p,بار اول بود می‌رفتم پارک راحت نمی‌شود بد نیست رفتار پرسنل خوب هست نظرم قیمت نسبت حجم کیفیت بالا است استیک مدیترانه گرفتم طعمش خوب بود حجمش نسبت جاهای کم‌تر بود قیمتش بالا‌تر حدود
p,بار اول جلسه کاری رستوران رفتم نوشیدنی‌های راضی بودم قهوه‌‌هایش استاندار هست اب میوه‌‌ها کوکتل‌‌هایش هنرمندانه تهیه می‌شود نهار شد نماند غذایش دیدیم تصمیم گرفتیم غذا سفارش بدهیم خاطر کیفیت بالای غذا پرسنل محترمش مشتری خیمه شدم قلیونش عربی هست
p,بار اولی بود غذا خوردم می‌آیم استیکش عالی بود مدت‌ها بود همچین استیکی نخورده بودم
